,name,type,latitude,longitude,address,rating,user_ratings_total
146,Restaurante Molhin de Filé - Comida Tropeira,restaurant,-22.3312115,-49.06316529999999,"R: Capitão Gomes Duarte N° 20-07, Bauru",4.5,248.0
147,Posto Ipiranga,restaurant,-22.311364,-49.06249280000001,"Avenida Nuno de Assis, 20 50 - Centro, Bauru",4.3,396.0
148,Toda Torta Torteria e Restaurante,restaurant,-22.329849,-49.06794300000001,"Rua Antônio Alves, 20, Bauru",5.0,1.0
149,Pizzaria La Tavola,restaurant,-22.3280256,-49.0675461,"Rua Araújo Leite, 19-36 - Centro, Bauru",4.4,583.0
150,SPOLETO,restaurant,-22.34203,-49.0493822,"Rua Henrique Savi, Loja 71 - Vila Nova Cidade Universitaria, Bauru",4.3,257.0
151,City's Burger,restaurant,-22.3216074,-49.0713993,"Praça Rui Barbosa, 468 - Centro, Bauru",4.4,316.0
152,Di Forni Pizzaria,restaurant,-22.315418,-49.059525,"Rua Marcondes Salgado, 17-71 - Vila Antarctica, Bauru",4.6,1404.0
153,Alibaba Esfiharia,restaurant,-22.3161535,-49.0579931,"Vila Cardia, Bauru",4.8,100.0
154,Graal Sem Limites,restaurant,-22.3178373,-49.0549311,"Rodovia Marechal Rondon, km 342 - Vila Cardia, Bauru",3.8,17868.0
155,Nossa Casa,restaurant,-22.3190539,-49.0603969,"Rua Guaicurus, 4-47 - Vila Cardia, Bauru",4.6,487.0
156,Tapajós Lanches,restaurant,-22.31678590000001,-49.0647862,"Rua General, Rua Marcondes Salgado, 12-39 - Chácara das Flores, Bauru",4.8,36.0
157,Burger King,restaurant,-22.3170332,-49.06489929999999,"R. General - Rua Marcondes Salgado, 14550 - Vila Antarctica, Bauru",4.4,2738.0
158,Bar do Brecha,restaurant,-22.3209389,-49.06102469999999,"Rua Antônio dos Reis, 134 - Higienópolis, Bauru",4.6,2665.0
159,McDonald's,restaurant,-22.3164194,-49.0661141,"Rua Marcondes Salgado, 11-39 - Loja 371 - Chácara das Flores, Bauru",4.4,3265.0
160,Supermercado São Judas Tadeu - Bauru/SP,liquor_store,-22.3197718,-49.0654326,"Rua Primeiro de Agosto, 13-43 - Vila Bonfim, Bauru",4.1,2492.0
161,Tauste - Duque de Caxias,liquor_store,-22.3261257,-49.0544869,"Avenida Duque de Caxias, 22-42 Vila Cardia - Jardim Brasil, Bauru",4.7,10733.0
162,Spani Atacadista,liquor_store,-22.3067257,-49.07261949999999,"Avenida Moussa Nakhl Tobias, 3-55 - Parque Sao Geraldo, Bauru",4.2,2220.0
163,Texas Tabacaria & Headshop Bauru,liquor_store,-22.3354793,-49.0536092,"Rua Guilherme de Almeida, 7-20 - Jardim Panorama, Bauru",4.6,100.0
164,Tauste Rio Branco,liquor_store,-22.3336429,-49.0696459,"Rua Rio Branco, 20-40 - Vila America, Bauru",4.6,8130.0
165,Confiança Supermercados - Mary dota,liquor_store,-22.2958289,-49.0459075,"Avenida Doutor Marcos de Paula Raphael, 13-13 - Núcleo Habitacional Mary Dota, Bauru",4.1,2301.0
166,Confiança Supermercados - Max,liquor_store,-22.337947,-49.066261,"Avenida Getúlio Vargas, 3-30 - Jardim Estoril, Bauru",4.6,7098.0
167,Estação Chopp Brahma - Bauru Shopping,liquor_store,-22.3423342,-49.0494362,"Rua Henrique Savi, 55 - Shopping, Bauru",4.8,160.0
168,Vino Vida Wine Bar,liquor_store,-22.3448069,-49.0632379,"Avenida Nossa Senhora de Fátima, 618 - Jardim America, Bauru",4.8,89.0
169,Confiança Supermercados - Falcão,liquor_store,-22.3259238,-49.0896771,"Rua Campos Salles, Quadra 7 - Vila Falcao, Bauru",4.4,4105.0
170,Pit Stop Skol,liquor_store,-22.324685,-49.09135799999999,"Rua Campos Salles, 9-60 - Vila Falcao, Bauru",,
171,Casa Ferreira Bebidas Artesanais,liquor_store,-22.3281441,-49.0940036,"Rua Castro Alves, 640 - Vila Souto, Bauru",4.4,11.0
172,Confiança Supermercados - Castelo,liquor_store,-22.3423143,-49.09334189999999,"Avenida Castelo Branco, 14-41 - Vila Paulista, Bauru",4.3,2765.0
173,Confiança Supermercados - Flex,liquor_store,-22.339548,-49.0451103,"Avenida Nações Unidas, Quadra , 36 - Jardim Contorno, Bauru",4.5,6329.0
174,Comprando Nacionais e Importados,liquor_store,-22.33685599999999,-49.069254,"Praça Portugal, 2-22 - Jardim Estoril IV, Bauru",4.5,106.0
175,Confraria Fernandes,liquor_store,-22.31268,-49.074663,"Rua Comendador Leite, 6-14 - Vila Camargo, Bauru",4.8,4.0
176,𝕯𝖎𝖘𝖐 𝖉𝖔 𝕵𝖆𝖕𝖆,liquor_store,-22.3191818,-49.05530599999999,"Av: Rodrigues Alves, 25-26 - Vila Antarctica, Bauru",4.2,5.0
177,Resenha Beer Bauru,liquor_store,-22.30663290000001,-49.0630961,"Alameda das Madressilvas, 5-07 - Parque Vista Alegre, Bauru",,
178,Chopp Kremer Express,liquor_store,-22.3241961,-49.06415330000001,"Rua Constituição, 461 - Higienópolis, Bauru",4.9,14.0
179,Mega Chopp Bauru,liquor_store,-22.3242356,-49.064252,"Rua Constituição, Quadra 4 - Vila Cardia, Bauru",3.7,3.0
